Rank,Name,TA Rating,Review Count,Travelers Choice 2025,TA URL,Website,Phone,Email,Owner / Contact Name,LinkedIn URL,Instagram Handle,Instagram Followers,Facebook URL,Languages Served,Tour Type,Price From (EUR),Year Founded,Booking Platforms,Owner Responds to Reviews,Latest Review Date,Enrichment Status,Notes
1,SANDEMANs New Europe - Amsterdam,4.5,19690,Yes,https://www.tripadvisor.com/Attraction_Review-g188590-d1099424,neweuropetours.eu,+31 6 83544580,amsterdam@neweuropetours.eu,SANDEMANs Team,,@sandemansfreetours,24600,facebook.com/neweuropetours,"English, German, Spanish, French, Italian, Portuguese, Dutch",Free Walking / Paid Private,0,2004,"Own site, Viator, GetYourGuide",Yes,Mar 2026,Fully Enriched,World largest free tour; IG 24.6K; Berlin founded 2004; price tip-based (free walking)
2,360 Amsterdam Tours,5,16096,Yes,https://www.tripadvisor.com/Attraction_Review-g188590-d6454312,360amsterdamtours.com,+31 6 19934503,support@360amsterdamtours.com,Anja Herrmann,linkedin.com/in/anja-herrmann,@360amsterdam,1488,facebook.com/360amsterdam,"English, Spanish, Italian, German, Portuguese, French, Dutch",Private & Group Walking,32.5,2014,"Viator, Own site",Yes,Mar 2026,Fully Enriched,Team 4 staff + 35-50 freelance guides; Feb 2014; 448 IG posts
3,FreeDam Tours,5,7531,Yes,https://www.tripadvisor.com/Attraction_Review-g188590-d10038783,freedamtours.com,,info@freedamtours.com,,,@freedamtours,1975,facebook.com/freedamtours,"English, Dutch, Spanish",Free Walking / Paid,0,2018,Own site,Yes,Mar 2026,Fully Enriched,Tip-based free walking tour; 1975 IG followers
4,Free Walking Tours Amsterdam,5,5309,Yes,https://www.tripadvisor.com/Attraction_Review-g188590-d7932225,freewalkingtoursamsterdam.com,,info@freewalkingtoursamsterdam.com,,,,,,English,Free Walking,0,2015,Own site,Yes,Mar 2026,Partially Enriched,No Instagram found; tip-based free tour
5,Camaleon Tours,5,5249,Yes,https://www.tripadvisor.com/Attraction_Review-g188590-d4106764,camaleontours.com,,info@camaleontours.com,,,@camaleon.tours,10800,facebook.com/camaleontours,"English, Spanish",Private & Group Walking,25,2013,"Own site, Viator",Yes,Mar 2026,Fully Enriched,Spanish-speaking guides; 10.8K IG followers
6,Mike's Bike Tours Amsterdam,4.5,4911,Yes,https://www.tripadvisor.com/Attraction_Review-g188590-d621588,mikesbiketoursamsterdam.com,+31 20 622 7970,info@mikesbiketoursamsterdam.com,Mike,,@mikesbiketoursinamsterdam,1520,facebook.com/mikesbiketoursamsterdam,English,Group Bike,39,1999,"Own site, Viator",Yes,Mar 2026,Fully Enriched,Founded 1999; oldest bike tour companies; 1520 IG
7,We Bike Amsterdam,4.5,4390,Yes,https://www.tripadvisor.com/Attraction_Review-g188590-d4584280,webikeamsterdam.com,+31 20 622 4391,info@webikeamsterdam.com,,,@webikeamsterdam,6168,facebook.com/webikeamsterdam,"English, Dutch",Group & Private Bike,29.5,2012,"Own site, Viator, GetYourGuide",Yes,Mar 2026,Fully Enriched,"NY phone; multilingual; @babyloncitytours; 6,168 IG followers; founded 2012"
8,Babylon Tours,5,3399,Yes,https://www.tripadvisor.com/Attraction_Review-g188590-d6214545,babylontours.com,+1 917-999-0380,info@babylontours.com,,,@amsterdam_food_tours,3175,facebook.com/people/Amsterdam-Food-Tours-by-Adam-Eve/61562893411469,"English, Spanish, Arabic",Private & Group Walking,85,2015,Own site,Yes,Mar 2026,Fully Enriched,"Food tours; IG 3,175; founded 2015; price €85"
9,Adam & Eve Amsterdam Food Tours,5,2919,Yes,https://www.tripadvisor.com/Attraction_Review-g188590-d13980469,adamandevetours.com,,info@adamandevetours.com,,,,,,English,Group Food Walking,75,2019,"Own site, GetYourGuide",Yes,Mar 2026,Partially Enriched,Website not yet visited
10,Amsterdam Food Tours by Eating Europe,4.5,2765,Yes,https://www.tripadvisor.com/Attraction_Review-g188590-d6849245,eatingeurope.com,,amsterdam@eatingeurope.com,Mark Law,linkedin.com/in/kenny-dunn,@thatdamguide,1187,facebook.com/ThatDamGuide,English,Group Food Walking,99,2011,"Own site, Viator, GetYourGuide",Yes,Mar 2026,Fully Enriched,"Solo guide Mark Law; IG 1,187; recommended by Rick Steves; private tours only"
11,That Dam Guide,5,2231,Yes,https://www.tripadvisor.com/Attraction_Review-g188590-d5607298,thatdamguide.com,,mark@thatdamguide.com,Mark,,@amsterdamguias,3949,facebook.com/amsterdamguias,English,Private Walking,0,2016,Own site,Yes,Mar 2026,Fully Enriched,"Spanish-language specialist; IG 3,949; 1,600 posts; group & private tours"
12,Amsterdam Guias & Tours,4.5,3306,Yes,https://www.tripadvisor.com/Attraction_Review-g188590-d12659487,amsterdamguias.com,,info@amsterdamguias.com,,,@wumbrellatours,3097,,"Spanish, English",Group & Private Walking,25,2013,Own site,Yes,Mar 2026,Fully Enriched,"European franchise network; 10+ years; 2M+ clients; IG 3,097; Spanish-led"
13,White Umbrella Tours,4.5,3835,Yes,https://www.tripadvisor.com/Attraction_Review-g188590-d3835310,whiteumbrellatours.com,,info@whiteumbrellatours.com,,,@amsterdamredlightdistricttour,15100,facebook.com/AmsterdamRedlightDistrictTour,English,Private & Group Walking,40,2010,Own site,Yes,Mar 2026,Fully Enriched,RLD specialist; IG 15.1K; founded 2010; price from €40
14,Amsterdam Red Light District Tours,4.5,1190,Yes,https://www.tripadvisor.com/Attraction_Review-g188590-d7362975,amsterdamredlightdistricttour.com,+31 6 43 41 37 99,info@amsterdamredlightdistricttour.com,,,@amsterdam.experiences,14000,facebook.com/amsterdamexperiences,English,Group Walking,485,2016,"Own site, Viator",Yes,Mar 2026,Fully Enriched,Premium private tours; IG 14K; price from €485; phone +31 6 43 41 37 99
15,Bespoke Amsterdam Experiences,5,1457,Yes,https://www.tripadvisor.com/Attraction_Review-g188590-d13430753,amsterdamexperiences.nl,,info@amsterdamexperiences.nl,,,@withlocals,27000,facebook.com/Withlocals,"English, Dutch",Private Experiences,150,2013,Own site,Yes,Mar 2026,Partially Enriched,Platform model; 27K IG followers; multiple local guides; founded 2013
16,Amsterdam Withlocals,4.5,1540,Yes,https://www.tripadvisor.com/Attraction_Review-g188590-d8891040,withlocals.com,,,,,,,,"English, Dutch, Multiple",Private Experiences,0,2013,Own site (platform),Yes,Mar 2026,Fully Enriched,Primarily rental; minimal online social presence; 4 Amsterdam locations
17,A-Bike Rental & Tours Amsterdam,4,1453,No,https://www.tripadvisor.com/Attraction_Review-g188590-d7698395,a-bike.nl,+31 20 620 4055,info@a-bike.nl,Peter Schaapman,,,,,"English, Dutch",Bike Rental & Tours,160,2014,Own site,No,Mar 2026,Fully Enriched,Guide Peter Schaapman; private only; max 4 people; €160; ~2.5 hours
